,Sea,Date,LID,HID,AID,Open,OddsH,OddsD,OddsA,HSC,ASC,H,D,A
0,2000,2000-03-19,E1,593,341,2000-03-15,0.0,0.0,0.0,3,0,1,0,0
1,2000,2000-03-19,E1,528,117,2000-03-15,0.0,0.0,0.0,2,0,1,0,0
2,2000,2000-03-19,E1,486,491,2000-03-15,0.0,0.0,0.0,0,0,0,1,0
3,2000,2000-03-19,E1,251,122,2000-03-15,0.0,0.0,0.0,0,0,0,1,0
4,2000,2000-03-19,E1,483,599,2000-03-15,0.0,0.0,0.0,0,1,0,0,1
5,2000,2000-03-19,E1,430,484,2000-03-15,0.0,0.0,0.0,1,1,0,1,0
6,2000,2000-03-19,E1,143,59,2000-03-15,0.0,0.0,0.0,2,0,1,0,0
7,2000,2000-03-24,Q1,345,100,2000-03-20,0.0,0.0,0.0,1,0,1,0,0
8,2000,2000-03-25,E1,341,251,2000-03-21,0.0,0.0,0.0,0,0,0,1,0
9,2000,2000-03-25,E1,122,143,2000-03-21,0.0,0.0,0.0,2,0,1,0,0
10,2000,2000-03-25,Q1,222,447,2000-03-21,0.0,0.0,0.0,1,1,0,1,0
11,2000,2000-03-25,E1,593,483,2000-03-21,0.0,0.0,0.0,0,2,0,0,1
12,2000,2000-03-25,E1,599,486,2000-03-21,0.0,0.0,0.0,1,0,1,0,0
13,2000,2000-03-25,E1,484,117,2000-03-21,0.0,0.0,0.0,2,1,1,0,0
14,2000,2000-03-25,E1,491,430,2000-03-21,0.0,0.0,0.0,3,1,1,0,0
15,2000,2000-03-25,Q1,497,19,2000-03-21,0.0,0.0,0.0,3,1,1,0,0
16,2000,2000-03-25,Q1,331,561,2000-03-21,0.0,0.0,0.0,1,0,1,0,0
17,2000,2000-03-25,Q1,159,216,2000-03-21,0.0,0.0,0.0,2,0,1,0,0
18,2000,2000-03-25,Q1,448,601,2000-03-21,0.0,0.0,0.0,2,0,1,0,0
19,2000,2000-03-25,Q1,346,120,2000-03-21,0.0,0.0,0.0,0,0,0,1,0
20,2000,2000-03-26,E1,59,528,2000-03-22,0.0,0.0,0.0,1,2,0,0,1
21,2000,2000-04-01,Q1,601,31,2000-03-28,0.0,0.0,0.0,1,0,1,0,0
22,2000,2000-04-01,Q1,561,497,2000-03-28,0.0,0.0,0.0,0,2,0,0,1
23,2000,2000-04-01,Q1,100,216,2000-03-28,0.0,0.0,0.0,0,0,0,1,0
24,2000,2000-04-01,Q1,345,331,2000-03-28,0.0,0.0,0.0,2,0,1,0,0
25,2000,2000-04-01,Q1,120,159,2000-03-28,0.0,0.0,0.0,4,0,1,0,0
26,2000,2000-04-01,Q1,535,346,2000-03-28,0.0,0.0,0.0,2,1,1,0,0
27,2000,2000-04-01,Q1,447,448,2000-03-28,0.0,0.0,0.0,1,1,0,1,0
28,2000,2000-04-01,Q1,19,222,2000-03-28,0.0,0.0,0.0,1,1,0,1,0
29,2000,2000-04-02,E1,484,59,2000-03-29,0.0,0.0,0.0,1,0,1,0,0
30,2000,2000-04-02,E1,143,341,2000-03-29,0.0,0.0,0.0,0,0,0,1,0
31,2000,2000-04-02,E1,117,491,2000-03-29,0.0,0.0,0.0,0,0,0,1,0
32,2000,2000-04-02,E1,251,593,2000-03-29,0.0,0.0,0.0,2,0,1,0,0
33,2000,2000-04-02,E1,430,599,2000-03-29,0.0,0.0,0.0,2,0,1,0,0
34,2000,2000-04-02,E1,528,122,2000-03-29,0.0,0.0,0.0,0,0,0,1,0
35,2000,2000-04-02,E1,486,483,2000-03-29,0.0,0.0,0.0,1,2,0,0,1
36,2000,2000-04-07,Q1,159,535,2000-04-03,0.0,0.0,0.0,0,0,0,1,0
37,2000,2000-04-08,Q1,216,120,2000-04-04,0.0,0.0,0.0,0,0,0,1,0
38,2000,2000-04-08,Q1,331,100,2000-04-04,0.0,0.0,0.0,2,0,1,0,0
39,2000,2000-04-08,Q1,222,561,2000-04-04,0.0,0.0,0.0,1,1,0,1,0
40,2000,2000-04-08,Q1,448,19,2000-04-04,0.0,0.0,0.0,2,1,1,0,0
41,2000,2000-04-08,Q1,31,447,2000-04-04,0.0,0.0,0.0,1,0,1,0,0
42,2000,2000-04-08,Q1,346,601,2000-04-04,0.0,0.0,0.0,1,2,0,0,1
43,2000,2000-04-08,R1,407,273,2000-04-04,0.0,0.0,0.0,2,0,1,0,0
44,2000,2000-04-08,Q1,497,345,2000-04-04,0.0,0.0,0.0,0,0,0,1,0
45,2000,2000-04-09,R1,406,287,2000-04-05,0.0,0.0,0.0,1,1,0,1,0
46,2000,2000-04-09,E1,486,430,2000-04-05,0.0,0.0,0.0,2,0,1,0,0
47,2000,2000-04-09,E1,483,251,2000-04-05,0.0,0.0,0.0,3,0,1,0,0
48,2000,2000-04-09,E1,341,528,2000-04-05,0.0,0.0,0.0,1,1,0,1,0
49,2000,2000-04-09,E1,122,484,2000-04-05,0.0,0.0,0.0,0,0,0,1,0
50,2000,2000-04-09,E1,599,117,2000-04-05,0.0,0.0,0.0,2,0,1,0,0
51,2000,2000-04-09,R1,538,263,2000-04-05,0.0,0.0,0.0,0,2,0,0,1
52,2000,2000-04-09,R1,233,566,2000-04-05,0.0,0.0,0.0,0,0,0,1,0
53,2000,2000-04-09,E1,491,59,2000-04-05,0.0,0.0,0.0,0,0,0,1,0
54,2000,2000-04-09,E1,593,143,2000-04-05,0.0,0.0,0.0,0,2,0,0,1
55,2000,2000-04-10,R1,260,285,2000-04-06,0.0,0.0,0.0,1,3,0,0,1
56,2000,2000-04-10,R1,266,234,2000-04-06,0.0,0.0,0.0,0,1,0,0,1
57,2000,2000-04-10,R1,284,2,2000-04-06,0.0,0.0,0.0,1,2,0,0,1
58,2000,2000-04-15,Q1,331,497,2000-04-11,0.0,0.0,0.0,1,2,0,0,1
59,2000,2000-04-15,Q1,535,216,2000-04-11,0.0,0.0,0.0,2,0,1,0,0
60,2000,2000-04-15,Q1,601,159,2000-04-11,0.0,0.0,0.0,0,1,0,0,1
61,2000,2000-04-15,Q1,447,346,2000-04-11,0.0,0.0,0.0,0,0,0,1,0
62,2000,2000-04-15,Q1,19,31,2000-04-11,0.0,0.0,0.0,2,3,0,0,1
63,2000,2000-04-15,Q1,561,448,2000-04-11,0.0,0.0,0.0,2,0,1,0,0
64,2000,2000-04-15,Q1,100,120,2000-04-11,0.0,0.0,0.0,0,3,0,0,1
65,2000,2000-04-15,Q1,345,222,2000-04-11,0.0,0.0,0.0,1,0,1,0,0
66,2000,2000-04-16,E1,59,599,2000-04-12,0.0,0.0,0.0,2,1,1,0,0
67,2000,2000-04-16,E1,143,251,2000-04-12,0.0,0.0,0.0,1,1,0,1,0
68,2000,2000-04-16,E1,117,486,2000-04-12,0.0,0.0,0.0,0,1,0,0,1
69,2000,2000-04-16,E1,430,483,2000-04-12,0.0,0.0,0.0,1,0,1,0,0
70,2000,2000-04-16,E1,528,593,2000-04-12,0.0,0.0,0.0,2,1,1,0,0
71,2000,2000-04-16,R1,566,538,2000-04-12,0.0,0.0,0.0,0,1,0,0,1
72,2000,2000-04-16,R1,234,406,2000-04-12,0.0,0.0,0.0,2,2,0,1,0
73,2000,2000-04-16,E1,484,341,2000-04-12,0.0,0.0,0.0,1,0,1,0,0
74,2000,2000-04-16,E1,491,122,2000-04-12,0.0,0.0,0.0,4,0,1,0,0
75,2000,2000-04-17,R1,273,266,2000-04-13,0.0,0.0,0.0,0,0,0,1,0
76,2000,2000-04-17,R1,2,260,2000-04-13,0.0,0.0,0.0,1,1,0,1,0
77,2000,2000-04-17,R1,285,407,2000-04-13,0.0,0.0,0.0,2,0,1,0,0
78,2000,2000-04-18,R1,287,233,2000-04-14,0.0,0.0,0.0,3,0,1,0,0
79,2000,2000-04-20,E1,59,486,2000-04-16,0.0,0.0,0.0,3,0,1,0,0
80,2000,2000-04-20,E1,122,599,2000-04-16,0.0,0.0,0.0,4,1,1,0,0
81,2000,2000-04-20,E1,143,483,2000-04-16,0.0,0.0,0.0,5,0,1,0,0
82,2000,2000-04-20,E1,117,430,2000-04-16,0.0,0.0,0.0,1,1,0,1,0
83,2000,2000-04-20,E1,251,528,2000-04-16,0.0,0.0,0.0,5,1,1,0,0
84,2000,2000-04-20,E1,593,484,2000-04-16,0.0,0.0,0.0,1,1,0,1,0
85,2000,2000-04-20,E1,341,491,2000-04-16,0.0,0.0,0.0,0,1,0,0,1
86,2000,2000-04-21,R1,263,2,2000-04-17,0.0,0.0,0.0,4,0,1,0,0
87,2000,2000-04-21,R1,538,285,2000-04-17,0.0,0.0,0.0,1,1,0,1,0
88,2000,2000-04-21,R1,406,566,2000-04-17,0.0,0.0,0.0,6,0,1,0,0
89,2000,2000-04-21,R1,407,287,2000-04-17,0.0,0.0,0.0,2,0,1,0,0
90,2000,2000-04-21,R1,284,273,2000-04-17,0.0,0.0,0.0,2,3,0,0,1
91,2000,2000-04-22,Q1,120,535,2000-04-18,0.0,0.0,0.0,1,0,1,0,0
92,2000,2000-04-22,Q1,216,601,2000-04-18,0.0,0.0,0.0,1,0,1,0,0
93,2000,2000-04-22,Q1,159,447,2000-04-18,0.0,0.0,0.0,0,0,0,1,0
94,2000,2000-04-22,Q1,346,19,2000-04-18,0.0,0.0,0.0,1,1,0,1,0
95,2000,2000-04-22,Q1,31,561,2000-04-18,0.0,0.0,0.0,2,1,1,0,0
96,2000,2000-04-22,R1,266,233,2000-04-18,0.0,0.0,0.0,2,1,1,0,0
97,2000,2000-04-22,Q1,222,331,2000-04-18,0.0,0.0,0.0,3,2,1,0,0
98,2000,2000-04-22,Q1,497,100,2000-04-18,0.0,0.0,0.0,1,0,1,0,0
99,2000,2000-04-22,Q1,448,345,2000-04-18,0.0,0.0,0.0,0,4,0,0,1
100,2000,2000-04-23,E1,528,143,2000-04-19,0.0,0.0,0.0,1,0,1,0,0
101,2000,2000-04-23,E1,599,341,2000-04-19,0.0,0.0,0.0,1,0,1,0,0
102,2000,2000-04-23,E1,430,59,2000-04-19,0.0,0.0,0.0,0,0,0,1,0
103,2000,2000-04-23,E1,483,117,2000-04-19,0.0,0.0,0.0,2,0,1,0,0
104,2000,2000-04-23,E1,484,251,2000-04-19,0.0,0.0,0.0,3,1,1,0,0
105,2000,2000-04-23,E1,486,122,2000-04-19,0.0,0.0,0.0,1,2,0,0,1
106,2000,2000-04-23,E1,491,593,2000-04-19,0.0,0.0,0.0,0,1,0,0,1
107,2000,2000-04-24,R1,260,234,2000-04-20,0.0,0.0,0.0,2,1,1,0,0
108,2000,2000-04-30,R1,234,407,2000-04-26,0.0,0.0,0.0,0,2,0,0,1
109,2000,2000-04-30,R1,566,263,2000-04-26,0.0,0.0,0.0,0,1,0,0,1
110,2000,2000-04-30,R1,233,406,2000-04-26,0.0,0.0,0.0,2,2,0,1,0
111,2000,2000-04-30,E1,599,593,2000-04-26,0.0,0.0,0.0,1,0,1,0,0
112,2000,2000-04-30,Q1,561,346,2000-04-26,0.0,0.0,0.0,0,0,0,1,0
113,2000,2000-04-30,E1,491,251,2000-04-26,0.0,0.0,0.0,2,1,1,0,0
114,2000,2000-04-30,E1,483,528,2000-04-26,0.0,0.0,0.0,3,0,1,0,0
115,2000,2000-04-30,Q1,331,448,2000-04-26,0.0,0.0,0.0,0,1,0,0,1
116,2000,2000-04-30,Q1,497,222,2000-04-26,0.0,0.0,0.0,3,1,1,0,0
117,2000,2000-04-30,Q1,601,120,2000-04-26,0.0,0.0,0.0,0,0,0,1,0
118,2000,2000-04-30,Q1,447,216,2000-04-26,0.0,0.0,0.0,2,0,1,0,0
119,2000,2000-04-30,Q1,19,159,2000-04-26,0.0,0.0,0.0,0,1,0,0,1
120,2000,2000-04-30,Q1,345,31,2000-04-26,0.0,0.0,0.0,1,0,1,0,0
121,2000,2000-04-30,Q1,100,535,2000-04-26,0.0,0.0,0.0,0,2,0,0,1
122,2000,2000-04-30,E1,341,486,2000-04-26,0.0,0.0,0.0,2,1,1,0,0
123,2000,2000-04-30,E1,117,59,2000-04-26,0.0,0.0,0.0,2,1,1,0,0
124,2000,2000-04-30,E1,143,484,2000-04-26,0.0,0.0,0.0,2,1,1,0,0
125,2000,2000-04-30,E1,122,430,2000-04-26,0.0,0.0,0.0,1,0,1,0,0
126,2000,2000-05-01,R1,2,538,2000-04-27,0.0,0.0,0.0,1,0,1,0,0
127,2000,2000-05-01,R1,273,260,2000-04-27,0.0,0.0,0.0,2,2,0,1,0
128,2000,2000-05-01,R1,285,284,2000-04-27,0.0,0.0,0.0,1,0,1,0,0
129,2000,2000-05-02,R1,287,266,2000-04-28,0.0,0.0,0.0,0,1,0,0,1
130,2000,2000-05-03,Q1,31,535,2000-04-29,0.0,0.0,0.0,0,0,0,1,0
131,2000,2000-05-04,R1,263,284,2000-04-30,0.0,0.0,0.0,1,0,1,0,0
132,2000,2000-05-07,R1,566,284,2000-05-03,0.0,0.0,0.0,1,0,1,0,0
133,2000,2000-05-07,Q1,216,19,2000-05-03,0.0,0.0,0.0,2,0,1,0,0
134,2000,2000-05-07,Q1,346,345,2000-05-03,0.0,0.0,0.0,0,1,0,0,1
135,2000,2000-05-07,R1,538,260,2000-05-03,0.0,0.0,0.0,2,0,1,0,0
136,2000,2000-05-07,Q1,222,100,2000-05-03,0.0,0.0,0.0,2,1,1,0,0
137,2000,2000-05-07,Q1,535,601,2000-05-03,0.0,0.0,0.0,1,1,0,1,0
138,2000,2000-05-07,Q1,120,447,2000-05-03,0.0,0.0,0.0,1,2,0,0,1
139,2000,2000-05-07,Q1,159,561,2000-05-03,0.0,0.0,0.0,1,0,1,0,0
140,2000,2000-05-07,Q1,31,331,2000-05-03,0.0,0.0,0.0,1,0,1,0,0
141,2000,2000-05-07,R1,263,407,2000-05-03,0.0,0.0,0.0,0,1,0,0,1
142,2000,2000-05-07,Q1,448,497,2000-05-03,0.0,0.0,0.0,1,6,0,0,1
143,2000,2000-05-08,R1,234,287,2000-05-04,0.0,0.0,0.0,1,2,0,0,1
144,2000,2000-05-08,R1,273,233,2000-05-04,0.0,0.0,0.0,2,0,1,0,0
145,2000,2000-05-08,R1,2,266,2000-05-04,0.0,0.0,0.0,1,0,1,0,0
146,2000,2000-05-08,R1,285,406,2000-05-04,0.0,0.0,0.0,4,1,1,0,0
147,2000,2000-05-12,Q1,100,601,2000-05-08,0.0,0.0,0.0,4,1,1,0,0
148,2000,2000-05-13,Q1,345,159,2000-05-09,0.0,0.0,0.0,1,0,1,0,0
149,2000,2000-05-13,Q1,561,216,2000-05-09,0.0,0.0,0.0,1,2,0,0,1
150,2000,2000-05-13,Q1,19,120,2000-05-09,0.0,0.0,0.0,1,0,1,0,0
151,2000,2000-05-13,Q1,447,535,2000-05-09,0.0,0.0,0.0,0,1,0,0,1
152,2000,2000-05-13,Q1,222,448,2000-05-09,0.0,0.0,0.0,2,2,0,1,0
153,2000,2000-05-13,Q1,497,31,2000-05-09,0.0,0.0,0.0,1,0,1,0,0
154,2000,2000-05-13,Q1,331,346,2000-05-09,0.0,0.0,0.0,2,1,1,0,0
155,2000,2000-05-14,E1,59,483,2000-05-10,0.0,0.0,0.0,0,1,0,0,1
156,2000,2000-05-14,E1,251,599,2000-05-10,0.0,0.0,0.0,2,1,1,0,0
157,2000,2000-05-14,E1,430,341,2000-05-10,0.0,0.0,0.0,2,1,1,0,0
158,2000,2000-05-14,E1,528,484,2000-05-10,0.0,0.0,0.0,0,1,0,0,1
159,2000,2000-05-14,R1,284,538,2000-05-10,0.0,0.0,0.0,1,0,1,0,0
160,2000,2000-05-14,E1,593,486,2000-05-10,0.0,0.0,0.0,1,0,1,0,0
161,2000,2000-05-14,E1,143,491,2000-05-10,0.0,0.0,0.0,5,2,1,0,0
162,2000,2000-05-14,E1,117,122,2000-05-10,0.0,0.0,0.0,0,1,0,0,1
163,2000,2000-05-14,R1,260,263,2000-05-10,0.0,0.0,0.0,2,4,0,0,1
164,2000,2000-05-14,R1,233,234,2000-05-10,0.0,0.0,0.0,1,1,0,1,0
165,2000,2000-05-15,R1,287,566,2000-05-11,0.0,0.0,0.0,3,1,1,0,0
